thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,up,1,0.00026390000039100414,None,0,0,0,0,0,0.025223300000106974,,0.014469400000052701,0.025223300000106974,1.0137683000002653,1.0283955000004426,1.127013799999986,up,1,0.00026390000039100414,None,0,Participant-1,"001",2025-09-05_16h11.49.447,signal_detection,,2025.2.0,134.71678490390195,2025-09-05 16h11.49.482441 +0530,
1,0,1,up,0,0.6036041000006662,None,4,1,0,1,0,1.138400300000285,,1.12734300000011,1.138400300000285,2.1231988999998066,2.130235300000095,2.732085900000129,up,0,0.6036041000006662,None,4,Participant-1,"001",2025-09-05_16h11.49.447,signal_detection,,2025.2.0,134.71678490390195,2025-09-05 16h11.49.482441 +0530,
2,0,2,up,1,0.6912658999999621,None,0,2,0,2,0,2.738962299999912,,2.7323143000003256,2.738962299999912,3.722599800000353,3.729872900000373,4.417178700000477,up,1,0.6912658999999621,None,0,Participant-1,"001",2025-09-05_16h11.49.447,signal_detection,,2025.2.0,134.71678490390195,2025-09-05 16h11.49.482441 +0530,
3,0,3,up,0,3.919579999999769,None,-3,3,0,3,0,4.424416100000599,,4.417448600000171,4.424416100000599,5.4084499000000505,5.415679600000658,9.328483700000106,up,0,3.919579999999769,None,-3,Participant-1,"001",2025-09-05_16h11.49.447,signal_detection,,2025.2.0,134.71678490390195,2025-09-05 16h11.49.482441 +0530,
4,0,4,up,1,0.8437511000001905,None,0,4,0,4,0,9.33543490000011,,9.328742100000454,9.33543490000011,10.320524800000385,10.32793649999985,11.165677800000594,up,1,0.8437511000001905,None,0,Participant-1,"001",2025-09-05_16h11.49.447,signal_detection,,2025.2.0,134.71678490390195,2025-09-05 16h11.49.482441 +0530,
5,0,5,up,0,0.14463719999912428,None,1,5,0,5,0,11.172933900000316,,11.165940599999885,11.172933900000316,12.160821299999952,12.168174700000236,12.306135499999982,up,0,0.14463719999912428,None,1,Participant-1,"001",2025-09-05_16h11.49.447,signal_detection,,2025.2.0,134.71678490390195,2025-09-05 16h11.49.482441 +0530,
6,0,6,up,1,0.9352348000002166,None,0,6,0,6,0,12.313143100000161,,12.306394799999907,12.313143100000161,13.299075800000537,13.306347300000198,14.238541499999883,up,1,0.9352348000002166,None,0,Participant-1,"001",2025-09-05_16h11.49.447,signal_detection,,2025.2.0,134.71678490390195,2025-09-05 16h11.49.482441 +0530,
7,0,7,up,0,0.7313532999996823,None,4,7,0,7,0,14.245839799999885,,14.238925100000415,14.245839799999885,15.232522700000118,15.239907799999855,15.965382299999874,up,0,0.7313532999996823,None,4,Participant-1,"001",2025-09-05_16h11.49.447,signal_detection,,2025.2.0,134.71678490390195,2025-09-05 16h11.49.482441 +0530,
8,0,8,down,0,1.2049740000002203,None,0,8,0,8,0,15.97230320000017,,15.965608500000599,15.97230320000017,16.958028000000013,16.964299400000527,18.169047800000044,down,0,1.2049740000002203,None,0,Participant-1,"001",2025-09-05_16h11.49.447,signal_detection,,2025.2.0,134.71678490390195,2025-09-05 16h11.49.482441 +0530,
9,0,9,down,1,0.8409044999998514,None,-5,9,0,9,0,18.17753189999985,,18.169415700000172,18.17753189999985,19.165707600000133,19.173598700000184,20.00873430000047,down,1,0.8409044999998514,None,-5,Participant-1,"001",2025-09-05_16h11.49.447,signal_detection,,2025.2.0,134.71678490390195,2025-09-05 16h11.49.482441 +0530,
