stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,2,10.0,0.022943599999962316,,0.016232599999966624,0.022943599999962316,0.49528289999989283,0.49528289999989283,0.49528289999989283,0.788050199999816,2.635753899999827,left,-10.0,1,1,2.0699419000000034,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
1,2,8.0,2.6408299999998235,,2.6358981999999287,2.6408299999998235,3.1272110999998404,3.1272110999998404,3.1272110999998404,3.4196084000000155,3.4815455999998903,left,-8.0,1,1,0.3467786999999589,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
2,2,6.0,3.4877458999999362,,3.4816717999999582,3.4877458999999362,3.9743641999998545,3.9743641999998545,3.9743641999998545,4.265899399999853,4.398257199999989,right,6.0,1,1,0.4214575999999397,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
3,2,4.0,4.404437299999927,,4.398377099999834,4.404437299999927,4.890632799999821,4.890632799999821,4.890632799999821,5.182135899999821,5.26584089999983,left,-4.0,1,1,0.3710522999999739,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
4,2,2.0,5.273241499999813,,5.2659607999999025,5.273241499999813,5.758895299999949,5.758895299999949,5.758895299999949,6.050585299999966,7.196641399999862,left,-2.0,1,1,1.4315903000001526,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
5,1,1.0,7.203277500000013,,7.196755999999823,7.203277500000013,7.689488999999867,7.689488999999867,7.689488999999867,7.981348599999819,8.411741199999824,right,1.0,0,0,0.7183540999999423,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
6,1,2.0,8.418247699999938,,8.411861799999997,8.418247699999938,8.904841099999885,8.904841099999885,8.904841099999885,9.195911699999897,9.745121100000006,right,2.0,1,1,0.839950300000055,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
7,1,2.0,9.751558400000022,,9.745263099999875,9.751558400000022,10.237641999999823,10.237641999999823,10.237641999999823,10.529708199999959,10.704084599999987,left,-2.0,1,1,0.46423870000012357,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
8,1,2.0,10.70996389999982,,10.704200599999922,10.70996389999982,11.196439499999997,11.196439499999997,11.196439499999997,11.488248199999816,11.633684799999855,right,2.0,1,1,0.43190130000016325,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
9,1,1.0,11.640866199999891,,11.633810699999913,11.640866199999891,12.12697479999997,12.12697479999997,12.12697479999997,12.418327299999874,12.662494999999808,right,1.0,1,1,0.5338512000000719,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
10,1,1.0,12.66821589999995,,12.662620199999992,12.66821589999995,13.154632900000024,13.154632900000024,13.154632900000024,13.445845299999974,13.91839529999993,right,1.0,1,1,0.7584509999999227,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
11,1,1.0,13.92546789999983,,13.918511799999806,13.92546789999983,14.411309500000016,14.411309500000016,14.411309500000016,,14.612982799999827,right,1.0,1,1,0.19592569999986154,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
12,1,1.0,14.61991039999998,,14.613101099999994,14.61991039999998,15.105709100000013,15.105709100000013,15.105709100000013,15.397125699999833,15.52994949999993,right,1.0,1,1,0.42064780000009705,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
13,1,1.0,15.536692599999924,,15.530061299999943,15.536692599999924,16.022642700000006,16.022642700000006,16.022642700000006,16.31426579999993,16.66129879999994,right,1.0,1,1,0.6346413000001121,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
14,1,1.0,16.6684444,,16.66142089999994,16.6684444,17.1542144,17.1542144,17.1542144,17.445995599999833,17.973812599999974,left,-1.0,1,1,0.8157367999999678,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
15,1,1.0,17.980507699999862,,17.97393339999985,17.980507699999862,18.46687209999982,18.46687209999982,18.46687209999982,18.75836349999986,19.33497239999997,right,1.0,1,1,0.8637908999999127,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
