Word,Color,Stimulus_Condition,Correct_Response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,text_2.started,Instruction.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thankyou.started,text_3.started,text_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.020849100008490495,0.03620470000896603,1.0044575000065379,,,,,,,,,,,,,,,subject 1,"001",2025-08-22_16h12.04.378,StroopTask,,2025.2.0,59.98670694577983,2025-08-22 16h12.04.731795 +0530,
BLUE,blue,C,b,0,0,0,b,1,1.8033512999973027,None,0,0,0,3,1.0410321000090335,,,,,1.0227375000104075,1.0410321000090335,1.5076864000002388,1.5076864000002388,1.5076864000002388,3.44309329999669,b,1,1.8033512999973027,None,,,,,subject 1,"001",2025-08-22_16h12.04.378,StroopTask,,2025.2.0,59.98670694577983,2025-08-22 16h12.04.731795 +0530,
BLUE,red,I,r,1,1,0,r,1,0.7408361999987392,None,0,1,1,2,3.4661975000053644,,,,,3.443561599997338,3.4661975000053644,3.9490021000092383,3.9490021000092383,3.9490021000092383,4.699409399996512,r,1,0.7408361999987392,None,,,,,subject 1,"001",2025-08-22_16h12.04.378,StroopTask,,2025.2.0,59.98670694577983,2025-08-22 16h12.04.731795 +0530,
RED,blue,I,b,2,2,0,b,1,0.8122316999942996,None,0,2,2,1,4.715288200008217,,,,,4.705651399999624,4.715288200008217,5.1990213000099175,5.1990213000099175,5.1990213000099175,6.016005299999961,b,1,0.8122316999942996,None,,,,,subject 1,"001",2025-08-22_16h12.04.378,StroopTask,,2025.2.0,59.98670694577983,2025-08-22 16h12.04.731795 +0530,
RED,red,C,r,3,3,0,r,1,0.5339525000017602,None,0,3,3,0,6.032389700005297,,,,,6.016675000006217,6.032389700005297,6.5159969000087585,6.5159969000087585,6.5159969000087585,7.065966000009212,r,1,0.5339525000017602,None,,,,,subject 1,"001",2025-08-22_16h12.04.378,StroopTask,,2025.2.0,59.98670694577983,2025-08-22 16h12.04.731795 +0530,
BLUE,red,I,r,4,0,1,r,1,0.9719411999976728,None,1,0,4,2,7.0821540000033565,,,,,7.068489700002829,7.0821540000033565,7.565901000009035,7.565901000009035,7.565901000009035,8.552490600006422,r,1,0.9719411999976728,None,,,,,subject 1,"001",2025-08-22_16h12.04.378,StroopTask,,2025.2.0,59.98670694577983,2025-08-22 16h12.04.731795 +0530,
RED,red,C,r,5,1,1,r,1,0.48096580000128597,None,1,1,5,0,8.568768600001931,,,,,8.555000899999868,8.568768600001931,9.052627199998824,9.052627199998824,9.052627199998824,9.536275899998145,r,1,0.48096580000128597,None,,,,,subject 1,"001",2025-08-22_16h12.04.378,StroopTask,,2025.2.0,59.98670694577983,2025-08-22 16h12.04.731795 +0530,
BLUE,blue,C,b,6,2,1,b,1,0.4713220999983605,None,1,2,6,3,9.552502400008962,,,,,9.538713000001735,9.552502400008962,10.052639600005932,10.052639600005932,10.052639600005932,10.53631480000331,b,1,0.4713220999983605,None,,,,,subject 1,"001",2025-08-22_16h12.04.378,StroopTask,,2025.2.0,59.98670694577983,2025-08-22 16h12.04.731795 +0530,
RED,blue,I,b,7,3,1,b,1,0.36240889999317005,None,1,3,7,1,10.552803900005529,,,,,10.538249000004726,10.552803900005529,11.052594100008719,11.052594100008719,11.052594100008719,11.41897159999644,b,1,0.36240889999317005,None,,,,,subject 1,"001",2025-08-22_16h12.04.378,StroopTask,,2025.2.0,59.98670694577983,2025-08-22 16h12.04.731795 +0530,
BLUE,red,I,r,8,0,2,r,1,0.3854412000073353,None,2,0,8,2,11.435139599998365,,,,,11.421177199998056,11.435139599998365,11.919213700006367,11.919213700006367,11.919213700006367,12.319669999997132,r,1,0.3854412000073353,None,,,,,subject 1,"001",2025-08-22_16h12.04.378,StroopTask,,2025.2.0,59.98670694577983,2025-08-22 16h12.04.731795 +0530,
