Word,Color,Stimulus_Condition,Correct_Response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,text_2.started,Instruction.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thankyou.started,text_3.started,text_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.00879350000013801,0.021759100000053877,1.0050640999997995,,,,,,,,,,,,,,,subject3,"001",2025-08-25_17h37.42.100,StroopTask,,2025.2.0,71.53628463406174,2025-08-25 17h37.42.232945 +0530,
RED,blue,I,b,0,0,0,b,1,1.7585847999998805,None,0,0,0,1,1.0240014999999403,,,,,1.0132969999995112,1.0240014999999403,1.4933836999998675,1.4933836999998675,1.4933836999998675,3.2650492000002487,b,1,1.7585847999998805,None,,,,,subject3,"001",2025-08-25_17h37.42.100,StroopTask,,2025.2.0,71.53628463406174,2025-08-25 17h37.42.232945 +0530,
BLUE,red,I,r,1,1,0,r,1,0.5238531000004514,None,0,1,1,2,3.2780172000002494,,,,,3.2688993000001574,3.2780172000002494,3.758120699999381,3.758120699999381,3.758120699999381,4.284970300000168,r,1,0.5238531000004514,None,,,,,subject3,"001",2025-08-25_17h37.42.100,StroopTask,,2025.2.0,71.53628463406174,2025-08-25 17h37.42.232945 +0530,
RED,red,C,r,2,2,0,r,1,0.5079192000002877,None,0,2,2,0,4.292616400000043,,,,,4.287318799999412,4.292616400000043,4.778698799999802,4.778698799999802,4.778698799999802,5.291250799999943,r,1,0.5079192000002877,None,,,,,subject3,"001",2025-08-25_17h37.42.100,StroopTask,,2025.2.0,71.53628463406174,2025-08-25 17h37.42.232945 +0530,
BLUE,blue,C,b,3,3,0,b,1,0.3689487999999983,None,0,3,3,3,5.300122399999964,,,,,5.29312630000004,5.300122399999964,5.7801002999995035,5.7801002999995035,5.7801002999995035,6.155907999999727,b,1,0.3689487999999983,None,,,,,subject3,"001",2025-08-25_17h37.42.100,StroopTask,,2025.2.0,71.53628463406174,2025-08-25 17h37.42.232945 +0530,
RED,blue,I,b,4,0,1,b,1,1.3845143999997163,None,1,0,4,1,6.165746599999693,,,,,6.158112600000095,6.165746599999693,6.650330599999506,6.650330599999506,6.650330599999506,8.03672540000025,b,1,1.3845143999997163,None,,,,,subject3,"001",2025-08-25_17h37.42.100,StroopTask,,2025.2.0,71.53628463406174,2025-08-25 17h37.42.232945 +0530,
BLUE,red,I,r,5,1,1,r,1,0.37207539999963046,None,1,1,5,2,8.043607399999928,,,,,8.038236700000198,8.043607399999928,8.533322299999782,8.533322299999782,8.533322299999782,8.907305699999597,r,1,0.37207539999963046,None,,,,,subject3,"001",2025-08-25_17h37.42.100,StroopTask,,2025.2.0,71.53628463406174,2025-08-25 17h37.42.232945 +0530,
BLUE,blue,C,b,6,2,1,b,1,0.5421778999998423,None,1,2,6,3,8.913110299999971,,,,,8.908099600000241,8.913110299999971,9.398818699999538,9.398818699999538,9.398818699999538,9.947818599999664,b,1,0.5421778999998423,None,,,,,subject3,"001",2025-08-25_17h37.42.100,StroopTask,,2025.2.0,71.53628463406174,2025-08-25 17h37.42.232945 +0530,
RED,red,C,r,7,3,1,r,1,0.3466707999996288,None,1,3,7,0,9.957665799999631,,,,,9.950386699999399,9.957665799999631,10.440483700000186,10.440483700000186,10.440483700000186,10.793266799999401,r,1,0.3466707999996288,None,,,,,subject3,"001",2025-08-25_17h37.42.100,StroopTask,,2025.2.0,71.53628463406174,2025-08-25 17h37.42.232945 +0530,
BLUE,blue,C,b,8,0,2,b,1,0.768639500000063,None,2,0,8,3,10.80198829999972,,,,,10.795322699999815,10.80198829999972,11.287971199999447,11.287971199999447,11.287971199999447,12.058977799999411,b,1,0.768639500000063,None,,,,,subject3,"001",2025-08-25_17h37.42.100,StroopTask,,2025.2.0,71.53628463406174,2025-08-25 17h37.42.232945 +0530,
